route_id,route_name,stop_sequence,stop_name,lat,lon
5501,C-03:- Tejaji Nagar to Hatod,10,Ashram Chauraha/IT Park,22.68538000,75.87344000
5501,C-03:- Tejaji Nagar to Hatod,11,Tantya Bheel Chouraha (Bhawarkua),22.69268000,75.86781000
5501,C-03:- Tejaji Nagar to Hatod,12,Holkar City Bus,22.69419000,75.8705
5501,C-03:- Tejaji Nagar to Hatod,13,Navlakha Chouraha,22.69931000,75.87791000
5501,C-03:- Tejaji Nagar to Hatod,14,GPO City Bus,22.70746000,75.87884000
5501,C-03:- Tejaji Nagar to Hatod,15,Nehru Stadium/MY Hospital Bus Std,22.71139000,75.88066000
5501,C-03:- Tejaji Nagar to Hatod,16,M.Y. Hospital Gate,22.71296000,75.87857000
5501,C-03:- Tejaji Nagar to Hatod,17,Madhu Milan,22.71397000,75.87477000
5501,C-03:- Tejaji Nagar to Hatod,18,Railway Station,22.71768000,75.86885000
5501,C-03:- Tejaji Nagar to Hatod,19,Gandhi Hall/Palika Plaza_2,22.71901000,75.86575000
5501,C-03:- Tejaji Nagar to Hatod,20,Rajwada,22.71842000,75.85562000
5501,C-03:- Tejaji Nagar to Hatod,21,Gurudwara,22.71626000,75.85539000
5501,C-03:- Tejaji Nagar to Hatod,22,Narsingh Bazar,22.71563000,75.85033000
5501,C-03:- Tejaji Nagar to Hatod,23,Malganj,22.71535000,75.84527000
5501,C-03:- Tejaji Nagar to Hatod,24,Rajmohalla,22.71519000,75.84062000
5501,C-03:- Tejaji Nagar to Hatod,25,Antim Chauraha,22.71787000,75.84091000
5501,C-03:- Tejaji Nagar to Hatod,26,Badaganpati,22.72056000,75.84171000
5501,C-03:- Tejaji Nagar to Hatod,27,Ramchandra Pump / APTC,22.72214000,75.8346
5501,C-03:- Tejaji Nagar to Hatod,28,Tirupati Nagar,22.72351000,75.82969000
5501,C-03:- Tejaji Nagar to Hatod,29,Kalani Nagar,22.7248,75.82447000
5501,C-03:- Tejaji Nagar to Hatod,30,Vidhyadham,22.72574000,75.82043000
5501,C-03:- Tejaji Nagar to Hatod,31,Panchsheel,22.72894000,75.8150
5501,C-03:- Tejaji Nagar to Hatod,32,Airport,22.72978000,75.81067000
5501,C-03:- Tejaji Nagar to Hatod,33,B C School,22.73232000,75.80077000
5501,C-03:- Tejaji Nagar to Hatod,34,Gandhi Nagar,22.73908000,75.79089000
5501,C-03:- Tejaji Nagar to Hatod,35,Naya Basera,22.74143000,75.78182000
5501,C-03:- Tejaji Nagar to Hatod,36,GOMATGIRI TEMPLE,22.7457,75.77553000
5501,C-03:- Tejaji Nagar to Hatod,37,Pitra Parvat,22.7540,75.77168000
5501,C-03:- Tejaji Nagar to Hatod,38,Budhaniya,22.77079000,75.7649
5501,C-03:- Tejaji Nagar to Hatod,39,Hatod,22.79406000,75.74192000
5565,C-04:- Arvindo Hospital to Silver Spring,1,Arvindo,22.79788000,75.8473
5565,C-04:- Arvindo Hospital to Silver Spring,2,Luv Kush / MR 10 SQ,22.78996000,75.84743000
5565,C-04:- Arvindo Hospital to Silver Spring,3,Indo German,22.7800,75.84786000
5565,C-04:- Arvindo Hospital to Silver Spring,4,Deepmala Dhaba,22.77653000,75.84794000
5565,C-04:- Arvindo Hospital to Silver Spring,5,Narval,22.77264000,75.84778000
5565,C-04:- Arvindo Hospital to Silver Spring,6,Mouni Baba Ashram,22.76904000,75.84766000
5565,C-04:- Arvindo Hospital to Silver Spring,7,Modern Square,22.76436000,75.84756000
5565,C-04:- Arvindo Hospital to Silver Spring,8,Ganesh Dham,22.76073000,75.84784000
5565,C-04:- Arvindo Hospital to Silver Spring,9,Sukhliya (Ujjain Road),22.75823000,75.84816000
5565,C-04:- Arvindo Hospital to Silver Spring,10,Kharcha,22.75121000,75.84934000
5565,C-04:- Arvindo Hospital to Silver Spring,11,Kushwah Nagar Naka / Ujain Naka,22.74709000,75.84999000
5565,C-04:- Arvindo Hospital to Silver Spring,12,Banganga,22.74445000,75.85122000
5565,C-04:- Arvindo Hospital to Silver Spring,13,Vrindavan Colony,22.7401,75.84995000
5565,C-04:- Arvindo Hospital to Silver Spring,14,Kumhar Khadi,22.73814000,75.84966000
5565,C-04:- Arvindo Hospital to Silver Spring,15,Marimata Chouraha,22.73386000,75.84969000
5565,C-04:- Arvindo Hospital to Silver Spring,16,Haji House,22.73075000,75.85078000
5565,C-04:- Arvindo Hospital to Silver Spring,17,Sadar Bazar Pani Ki Tanki,22.72838000,75.85157000
5565,C-04:- Arvindo Hospital to Silver Spring,18,Sadar Bazar,22.7255,75.85272000
5565,C-04:- Arvindo Hospital to Silver Spring,19,Imli Bazar,22.72286000,75.85393000
5565,C-04:- Arvindo Hospital to Silver Spring,20,Rambagh,22.72299000,75.85797000
5565,C-04:- Arvindo Hospital to Silver Spring,21,Nagar Nigam Depot_1,22.72374000,75.85922000
5565,C-04:- Arvindo Hospital to Silver Spring,22,Rajwada,22.71842000,75.85562000
5565,C-04:- Arvindo Hospital to Silver Spring,23,Shree Krishna Talkies/ Krishnapura Pul_1,22.71993000,75.85927000
5565,C-04:- Arvindo Hospital to Silver Spring,24,Ranipura/ Kothari Market_1,22.71989000,75.86331000
5565,C-04:- Arvindo Hospital to Silver Spring,25,Gandhi Hall/Palika Plaza_1,22.71976000,75.86529000
5565,C-04:- Arvindo Hospital to Silver Spring,26,Regal Square,22.7201,75.87128000
5565,C-04:- Arvindo Hospital to Silver Spring,27,Railway Station,22.71768000,75.86885000
5565,C-04:- Arvindo Hospital to Silver Spring,28,Chhoti Gwaltoli,22.71586000,75.87085000
5565,C-04:- Arvindo Hospital to Silver Spring,29,Madhu Milan,22.71397000,75.87477000
5565,C-04:- Arvindo Hospital to Silver Spring,30,Dawa Bazar,22.71371000,75.87587000
5565,C-04:- Arvindo Hospital to Silver Spring,31,M.Y. Hospital Gate,22.71296000,75.87857000
5565,C-04:- Arvindo Hospital to Silver Spring,32,M.Y. Std / MY Chauraha/White Church/Dental Clg,22.71262000,75.8795
5565,C-04:- Arvindo Hospital to Silver Spring,33,White Church,22.71112000,75.88412000
5565,C-04:- Arvindo Hospital to Silver Spring,34,Roberts Nursing Home,22.71014000,75.88842000
5565,C-04:- Arvindo Hospital to Silver Spring,35,Agriculture College,22.70951000,75.89095000
5565,C-04:- Arvindo Hospital to Silver Spring,36,Pipliyahana Gram,22.70741000,75.9003
5565,C-04:- Arvindo Hospital to Silver Spring,37,Pipliya Hana Square,22.70605000,75.90583000
5565,C-04:- Arvindo Hospital to Silver Spring,38,Shanti Nagar,22.69762000,75.90504000
5565,C-04:- Arvindo Hospital to Silver Spring,39,Musakhedi,22.69285000,75.89966000
5565,C-04:- Arvindo Hospital to Silver Spring,40,Allahabad Bank/ Krishnapuri Colony,22.6901,75.89608000
5565,C-04:- Arvindo Hospital to Silver Spring,41,Teen Imli,22.68889000,75.88449000
5565,C-04:- Arvindo Hospital to Silver Spring,42,Palda Naka,22.68565000,75.88889000
5565,C-04:- Arvindo Hospital to Silver Spring,43,RTO Office,22.67331000,75.90682000
5565,C-04:- Arvindo Hospital to Silver Spring,44,Nayta Mundla,22.66952000,75.9103
5565,C-04:- Arvindo Hospital to Silver Spring,45,Silver City,22.65987000,75.91095000
5564,C-04:- Silver Spring to Arvindo Hospital,1,Silver City,22.65987000,75.91095000
5564,C-04:- Silver Spring to Arvindo Hospital,2,Nayta Mundla,22.66952000,75.9103
5564,C-04:- Silver Spring to Arvindo Hospital,3,RTO Office,22.67331000,75.90682000
5564,C-04:- Silver Spring to Arvindo Hospital,4,Palda Naka,22.68565000,75.88889000
5564,C-04:- Silver Spring to Arvindo Hospital,5,Teen Imli,22.68889000,75.88449000
5564,C-04:- Silver Spring to Arvindo Hospital,6,Musakhedi,22.69285000,75.89966000
5564,C-04:- Silver Spring to Arvindo Hospital,7,Pipliya Hana Square,22.70605000,75.90583000
5564,C-04:- Silver Spring to Arvindo Hospital,8,Pipliyahana Gram,22.70741000,75.9003
5564,C-04:- Silver Spring to Arvindo Hospital,9,Agriculture College,22.70951000,75.89095000
5564,C-04:- Silver Spring to Arvindo Hospital,10,Roberts Nursing Home,22.71014000,75.88842000
5564,C-04:- Silver Spring to Arvindo Hospital,11,White Church,22.71112000,75.88412000
5564,C-04:- Silver Spring to Arvindo Hospital,12,M.Y. Std / MY Chauraha/White Church/Dental Clg,22.71262000,75.8795
5564,C-04:- Silver Spring to Arvindo Hospital,13,M.Y. Hospital Gate,22.71296000,75.87857000
5564,C-04:- Silver Spring to Arvindo Hospital,14,Dawa Bazar,22.71371000,75.87587000
5564,C-04:- Silver Spring to Arvindo Hospital,15,Madhu Milan,22.71397000,75.87477000
5564,C-04:- Silver Spring to Arvindo Hospital,16,Chhoti Gwaltoli,22.71586000,75.87085000
5564,C-04:- Silver Spring to Arvindo Hospital,17,Railway Station,22.71768000,75.86885000
5564,C-04:- Silver Spring to Arvindo Hospital,18,Regal Square,22.7201,75.87128000
5564,C-04:- Silver Spring to Arvindo Hospital,19,Gandhi Hall/Palika Plaza_2,22.71901000,75.86575000
5564,C-04:- Silver Spring to Arvindo Hospital,20,Ranipura/ Kothari Market_2,22.71876000,75.86355000
5564,C-04:- Silver Spring to Arvindo Hospital,21,Riverside_1,22.71907000,75.85896000
5564,C-04:- Silver Spring to Arvindo Hospital,22,Shree Krishna Talkies/ Krishnapura Pul_2,22.71931000,75.85878000
5564,C-04:- Silver Spring to Arvindo Hospital,23,Rajwada,22.71842000,75.85562000
5564,C-04:- Silver Spring to Arvindo Hospital,24,Nagar Nigam Depot_1,22.72374000,75.85922000
5564,C-04:- Silver Spring to Arvindo Hospital,25,Rambagh,22.72299000,75.85797000
5564,C-04:- Silver Spring to Arvindo Hospital,26,Imli Bazar,22.72286000,75.85393000
5564,C-04:- Silver Spring to Arvindo Hospital,27,Sadar Bazar,22.7255,75.85272000
5564,C-04:- Silver Spring to Arvindo Hospital,28,Sadar Bazar Pani Ki Tanki,22.72838000,75.85157000
5564,C-04:- Silver Spring to Arvindo Hospital,29,Haji House,22.73075000,75.85078000
5564,C-04:- Silver Spring to Arvindo Hospital,30,Marimata Chouraha,22.73386000,75.84969000
5564,C-04:- Silver Spring to Arvindo Hospital,31,Kumhar Khadi,22.73814000,75.84966000
5564,C-04:- Silver Spring to Arvindo Hospital,32,Vrindavan Colony,22.7401,75.84995000
5564,C-04:- Silver Spring to Arvindo Hospital,33,Banganga,22.74445000,75.85122000
5564,C-04:- Silver Spring to Arvindo Hospital,34,Kushwah Nagar Naka / Ujain Naka,22.74709000,75.84999000
5564,C-04:- Silver Spring to Arvindo Hospital,35,Kharcha,22.75121000,75.84934000
5564,C-04:- Silver Spring to Arvindo Hospital,36,Sukhliya (Ujjain Road),22.75823000,75.84816000
5564,C-04:- Silver Spring to Arvindo Hospital,37,Ganesh Dham,22.76073000,75.84784000
5564,C-04:- Silver Spring to Arvindo Hospital,38,Modern Square,22.76436000,75.84756000
5564,C-04:- Silver Spring to Arvindo Hospital,39,Mouni Baba Ashram,22.76904000,75.84766000
5564,C-04:- Silver Spring to Arvindo Hospital,40,Narval,22.77264000,75.84778000
5564,C-04:- Silver Spring to Arvindo Hospital,41,Deepmala Dhaba,22.77653000,75.84794000
5564,C-04:- Silver Spring to Arvindo Hospital,42,Indo German,22.7800,75.84786000
5564,C-04:- Silver Spring to Arvindo Hospital,43,Luv Kush / MR 10 SQ,22.78996000,75.84743000
5564,C-04:- Silver Spring to Arvindo Hospital,44,Luv Kush Supermarket,22.79522000,75.84719000
5564,C-04:- Silver Spring to Arvindo Hospital,45,Arvindo,22.79788000,75.8473
5591,E-1:- CAT to Pitra Parvat (Electric Bus),1,CAT,22.66941000,75.81457000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),2,Suryadev Nagar,22.58904000,75.87184000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),3,Hawa Bangla,22.68355000,75.82227000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),4,Dwarkapuri,22.69245000,75.82613000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),5,Sai Dwar,22.68657000,75.82475000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),6,Footi Kothi,22.69364000,75.82756000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),7,Gumasta Nagar/Arihant Hospital,22.69719000,75.83247000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),8,Ranjit Hanuman,22.69967000,75.83583000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),9,Usha Nagar,22.69679000,75.83935000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),10,Mhow Naka,22.70497000,75.84298000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),11,M.O.G Line,22.70871000,75.84163000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),12,Gangwal Bus Stand,22.71313000,75.84063000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),13,Rajmohalla,22.71519000,75.84062000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),14,Antim Chauraha,22.71787000,75.84091000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),15,Badaganpati,22.72056000,75.84171000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),16,Ramchandra Pump / APTC,22.72214000,75.8346
5591,E-1:- CAT to Pitra Parvat (Electric Bus),17,Patel Nagar,22.72387000,75.8282
5591,E-1:- CAT to Pitra Parvat (Electric Bus),18,Shikshak Nagar,18.5097,73.80342000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),19,Kalani Nagar,22.7248,75.82447000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),20,Venktesh Gate,22.69582000,75.83067000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),21,Airport Thana Stop,22.72668000,75.81635000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),22,Panchsheel,22.72894000,75.8150
5591,E-1:- CAT to Pitra Parvat (Electric Bus),23,Ramkrishna Hospital,22.72996000,75.8102
5591,E-1:- CAT to Pitra Parvat (Electric Bus),24,Airport Gate,22.7292,75.80718000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),25,Airport,22.72978000,75.81067000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),26,Gandhi Nagar,22.73908000,75.79089000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),27,Naya Basera,22.74143000,75.78182000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),28,GOMATGIRI CHOURAHA,22.74245000,75.77641000
5591,E-1:- CAT to Pitra Parvat (Electric Bus),29,Pitra Parvat,22.7540,75.77168000
5583,E-1:- Pitra Parvat to CAT (Electric Bus),1,Pitra Parvat,22.7540,75.77168000
